Topic,Count,Name,Representation,Representative_Docs
37,136,调研|书记|市委|一行,"['调研', '书记', '市委', '一行', '副书记', '副主任', '局长', '领导', '视察', '主任']","['市绿化市容局党组书记局长人名带队赴长宁区调研第四','市委书记人名,市长人名为教育基地揭牌.','市委书记人名,市长人名一行视察我公司人民南路施工建设']"
38,134,防控|疫情|应急|演练,"['防控', '疫情', '应急', '演练', '防疫', '开展', '落实', '措施', '工作', '防汛']","['疫情防控汉源县文体旅局加强检查力度全面筑牢疫情防控安全防线','我市各地多举措强化疫情防控措施','为全面提高对新冠肺炎疫情的应急反应能力,促进学校防控和救治工作的']"
39,127,保湿|补水|精华|唇膏,"['保湿', '补水', '精华', '唇膏', '套装', '滋润', '面膜', '化妆品', '修复', '滋养']","['悦木之源灵芝焕能精华水补水保湿修复爽肤水菌菇水蘑菇水200ml','水嫩倍现水乳霜三件套百雀羚化妆品护肤套装补水保湿','可易egf冻干粉寡肽玻尿酸原液修复抗皱紧致补水保湿淡化细纹精华']"
40,121,电影|上映|票房|影片,"['电影', '上映', '票房', '影片', '导演', '院线', '执导', '电视剧', '豆瓣', '主演']","['超级英雄电影黑豹全球票房突破57亿,本周五登录中国院线.','人名导演的作品,电影影目前正在上映,豆瓣评分7.','根据猫眼电影统计数据,漫威电影在中国大陆上映的票房情况表现为两大']"
41,119,语文|下册|年级|教版,"['语文', '下册', '年级', '教版', '上册', '数学', '课件', '小学', '单元', 'ppt']","['苏教版三年级下册语文课件13绝句ppt','2016最新人教版小学数学四年级下册营养午餐ppt精品课件','人教版小学二年级语文上册25古诗两首课件ppt']"
42,116,资产|银行|利率|投资,"['资产', '银行', '利率', '投资', '贷款', '债券', '资金', '交易', '货币', '风险']","['从资产规模看,到2016年末,在华外资银行总资产在中国银行业','速动资产指流动资产中变现能力较强的那部分资产,一般指货币资金','信贷资产证券化业务交易结构流程信贷资产证券化的交易结构安排一般']"
43,115,福利|购买|特惠|优惠,"['福利', '购买', '特惠', '优惠', '158', '惊喜', '会员', '商品', '半价', '立减']","['00购买数量加入购物车nbsp立即购买','拼手速早鸟票仅39.9元,万圣欢乐节10.12惊悚开幕.','拼手速早鸟票仅39.9元,万圣欢乐节10.12惊悚开幕.']"
44,111,招生|分数线|录取|志愿,"['招生', '分数线', '录取', '志愿', '本科', '高考', '专业', '艺术类', '考生', '报名']","['四川师范大学艺术类专业录取分数线是多少?','各招生院校入围资格且高考成绩达到自主招生控制分数线的考生参考','2020年河南省普通高校招生录取控制分数线公布']"
45,111,绘本|儿童|简笔画|幼儿园,"['绘本', '儿童', '简笔画', '幼儿园', '积木', '玩具', '拼图', '简笔', '幼儿', '教程']","['幼儿园故事书硬壳硬皮装启发绘本幼儿习惯培养适合三','东施效颦故事里的中国儿童绘本成语故事书硬壳精装绘本有声伴读3','全国原创获奖暖心绘本全8册儿童绘本阅读3一6岁幼儿园']"
46,104,天气|台风|预警|气温,"['天气', '台风', '预警', '气温', '暴雨', '大风', '降雨', '雷阵雨', '冷空气', '预报']","['天气预报明日午后有雷阵雨','警方提示台风预警刚刚升级为黄色烟花最新位置图和预报在此','预警东北大雨暴雨大暴雨降雨大升级']"
47,102,地方|周边|推荐|游玩,"['地方', '周边', '推荐', '游玩', '错过', '旅行地', '好玩', '去处', '小长假', '旅游']","['五一小长假已启幕还不知去哪玩全国网友一起推荐了泸州这14个地方','秋天最值得去的15个地方,千万别错过','秒杀热门旅行地.南京周边这9个绝美地方,端午就可以去']"
48,99,君子|一日|名日|归于,"['君子', '一日', '名日', '归于', '任重', '三候', '圣人', '苍生', '有声', '宋代']","['印鉴任重,斯文不改,人名日无此君,千里,任重之印,浴小馆','当今斯世,鱼龙逸豫,百卉荣滋,自当居正以待时,尊生以存道.','乃谓宾吏曰防平生师道,忽中暴风,遽感圣人,以相救疗.']"
49,98,投诉|黑猫|信用卡|支付宝,"['投诉', '黑猫', '信用卡', '支付宝', '逾期', '还款', '银行', '额度', '客服', '支付']","['黑猫投诉恶意降额','黑猫投诉请求退款','黑猫投诉疫情期间中信信用卡恶意降额']"
50,96,火法|渣渣|不行|老娘,"['火法', '渣渣', '不行', '老娘', '黑幕', '合群', '乖乖', '不要', '作者', '表情']","['全世界最好的你许放当林兮迟室友面拎着她就走,人家不要面子啊','谁叫我丢人现眼,打牙跌嘴呢l可是,等到天明,你们看吧.','按年龄排座次.年龄一样,按背景来.再不行就君权神授.']"
51,96,清代|青花|年制|瓷器,"['清代', '青花', '年制', '瓷器', '乾隆', '明代', '绿釉', '乡下', '古瓷器', '清乾']","['大清乾隆年制珐琅彩百花方瓶','清代老瓷器古瓷器官窑黄釉盘一件','明代宣德年制青花釉里红缠枝花云龙纹盘子']"
52,94,植物|盆栽|花卉|种子,"['植物', '盆栽', '花卉', '种子', '水草', '绿化', '庭院', '开花', '绿植', '花苗']","['鱼缸造景装饰水草种子真水草小对叶小牛毛种子活体','四季山茶花树苗盆栽带花一树多色茶花庭院花卉植物开花不断浓香型','五十铃玉多肉植物组合盆栽花卉绿植群生多头多肉植物萌新多肉园7折']"
53,91,医院|附属|人民|医科,"['医院', '附属', '人民', '医科', '医学院', '外科', '医疗', '大学', '专科', '眼科']","['首都医科大学附属北京儿童医院一,医生,可以说全国.','医院动态医院新闻科普知识在线视频医院院报媒体关注','医院人多']"
54,90,中学|学校|实验|小学,"['中学', '学校', '实验', '小学', '幼儿园', '公办', '外国语', '校区', '成都', '简章']","['河南开封最好的初中学校是开封求实中学.然后是金明中学.','广州大学附属东江中学国防班,河源市人名实验中学录取分数线出炉','河南省重点中学郑州外国语学校校园全方位展示组图学校大门学生']"
55,85,落实|推进|工作|队伍,"['落实', '推进', '工作', '队伍', '领导', '加强', '强化', '整顿', '部署', '统筹']","['协调小组就已召开3次会议,进一步明确各成员单位任务分工,部署推动','为扎实推进党史学习教育和政法队伍教育整顿工作走深走实,细致落实','三要统筹谋划推进,确保学校主题教育取得扎实成效四要强化组织保障']"
56,85,爱心|公益|助学|正能量,"['爱心', '公益', '助学', '正能量', '慰问', '一线', '物资', '志愿者', '抗击', '助残']","['爱心传递温暖青春放飞梦想文雅爱心基金会','红色国际志愿者日爱心公益志愿服务ppt.ppt','爱心传递义乌同城会公益爱心活动走进赤岸镇三丫塘村']"
57,84,真经|武林|斗罗|郭靖,"['真经', '武林', '斗罗', '郭靖', '大陆', '武功', '太极', '唐昊', '狐妖', '宗师']","['一心觊觎武林盟主之位的金轮法王与郭靖展开对决,未曾想郭靖在已经','斗罗大陆唐昊并非莽夫,他对器魂真身的研究,胜过大师','斗罗大陆唐昊的魅力不是唐三可比拟他甚至超越历代主角']"
58,84,疫苗|新冠|病例|病毒,"['疫苗', '新冠', '病例', '病毒', '确诊', '接种', '肺炎', '疫情', '新增', '感染']","['江苏新增35例新型冠状病毒感染的肺炎确诊病例','上海新增确诊2例本土新冠肺炎病例上海各区域的风险等级不变','2.积极接种新冠疫苗.']"
59,84,火影|忍者|鸣人|忍术,"['火影', '忍者', '鸣人', '忍术', '实力', '铠甲', '进化', '万花筒写轮眼', '胡列娜', '上忍']","['火影,5名拥有万花筒写轮眼的忍者,谁的能力是最强的?','火影忍者七大结界忍术,历代火影联手之术竟不是最强.','火影忍者鸣人仅有的6个弟子,有2人不是忍者,还有一个']"
60,83,预报|靠近|地图|天气,"['预报', '靠近', '地图', '天气', '卫星', '安徽省', '贵州省', '四川省', '河南省', '江西省']","['四川省凉山彝族自治州雷波县新街靠近香江酒楼天气预报','安徽省蚌埠市五河县兴县路靠近华芳国际天气预报','安徽省蚌埠市怀远县城关圈堤靠近淮河天气预报']"
61,82,香辣|排骨|土豆|干贝,"['香辣', '排骨', '土豆', '干贝', '剁椒', '瑶柱', '菜心', '小黄鱼', '青椒', '木耳']","['热销香辣小黄鱼干','美食推荐青椒炒猪脆骨烧烩三鲜丝瓜木耳炒鲜鱿小炒鹿肉','美食推荐豉椒土豆排骨电饭煲可乐鸡翅风味香排骨香辣排骨']"
62,82,博览会|国际|论坛|大会,"['博览会', '国际', '论坛', '大会', '举办', '举行', '展会', '2019', '中国', '招商']","['第十三届上海国际汽车工业博览会','海伦钢琴受邀参加2018中国国际教育装备上海博览会','特斯拉参与了中国国际智能产业博览会']"
63,82,ppt|运算|计算|物体,"['ppt', '运算', '计算', '物体', '数幂', '同底', '定理', '重力', '不等式', '函数']","['物体受到重力重力沿斜面方向的分力与物体运动速度相反重力垂直与','同底数幂的乘法,幂的乘方和积的乘方,同底数幂的除法.','计算同底数幂的乘法']"
64,80,酒店|预订|宾馆|度假,"['酒店', '预订', '宾馆', '度假', '快捷', '公寓', '客栈', '国际', '如家', '住客']","['太原泰博宾馆预订价格,联系电话位置地址携程酒店','沈阳酒店预订','青岛涵碧楼酒店预订,青岛涵碧楼酒店价格地址图片']"
65,77,施工|混凝土|结构|钢筋,"['施工', '混凝土', '结构', '钢筋', '验收', '幕墙', '装配式', '混凝', '脚手架', '浇筑']","['预制装配式钢筋混凝土楼梯构造ppt','装配式建筑三种技术模式,装配式预制混凝土结构,钢结构和木结构','地下室与主体混凝土结构按照清水混凝土标准施工,内实外美,节点方正']"
66,76,运动|训练|站立|动作,"['运动', '训练', '站立', '动作', '拉伸', '背部', '健身', '虚实', '瑜伽', '肌肉']","['准备姿势山式站立于垫上,双脚打开,与肩同宽.','阅读下一篇瑜伽不是简单的拉伸,掌握动作要领,基础体式也能练就好','偏瘫康复器材腿脚踝关节板足下垂内外翻站立训练器械拉筋斜板儿童拉筋']"
67,72,大学|留学|名校|院校,"['大学', '留学', '名校', '院校', '高校', '录取', '学院', '专业', '师范', '美国']","['全国211大学116所,985院校39所,双一流大学42所','留学申请英国顶尖建筑名校巴斯大学成功案例解析','图中所示为陕西的大学,这个省的重点大学有西北大学,长安大学等8所']"
68,70,无量|法师|菩萨|眷属,"['无量', '法师', '菩萨', '眷属', '金刚', '大恩', '作意', '阿修罗', '大威德', '开示']","['放生功德无量,福报果报巨大.','菩提心义说彼佛寿命无量光明无量眷属无量一切皆无量如','菩提心义说彼佛寿命无量光明无量眷属无量一切皆无量如']"
69,70,强度|精度|冷却|温度,"['强度', '精度', '冷却', '温度', '螺母', '保证', '防腐', '金属', '0h', '冷却液']","['立角焊的关键是如何控制熔池金属,焊条要按熔池金属的冷却境况有节奏','为保证结构的强度,我们采用三倍于管封器额定工作压力的安全系数.','风速风向监测仪有较强的防腐蚀性和耐候性测量精度高,量程范围宽']"
70,69,写字楼|大厦|出租|公馆,"['写字楼', '大厦', '出租', '公馆', '平米', '花园', '地铁', '华润', '金尊', '吉屋网']","['科技投资大厦写字楼出租,科投大厦巴黎时韵瑞金花园','建和中心写字楼写字楼出租,体育西路挂靠公司的地址仅','深圳写字楼出租市场租金之福田会展中心附近的写字楼2']"
71,69,网易号|入驻|首页|网易,"['网易号', '入驻', '首页', '网易', '正文', '申请', '搜狐', '字素', '凤凰网', '手机']","['网易首页网易号正文申请入驻学习如何培养自己的爱好.','网易首页网易号正文申请入驻我们进入车内来了解一下.','网易首页网易号正文申请入驻啥类型都有.']"
72,68,游牧|时期|制度|古代,"['游牧', '时期', '制度', '古代', '民族', '运动', '西汉', '文化', '历史', '思想']","['促使建立资本主义新闻思想体系,推动了报界反封建斗争,提高报界自身','宋朝时期,由于马的变少,人们开始多用牛车,也有驴车,达官贵人出入','随着满清成功地解决游牧民族的问题,直隶也终归于平静,但该地区习武']"
73,67,解放军|战役|帽徽|士兵,"['解放军', '战役', '帽徽', '士兵', '战争', '师长', '兵团', '担任', '集团军', '抗美援朝']","['这种士兵解放军全军只有20人,但师长见了都要敬礼,究竟有多牛?','据悉,电影长津湖以抗美援朝战争第二次战役中的长津湖战役为背景','人名担任过解放军哪两个兵团副司令员,志愿军哪个兵团司令员?']"
74,65,书法|楷书|点画|山水,"['书法', '楷书', '点画', '山水', '草书', '笔画', '笔下', '画家', '山水画', '结体']","['姚孟起临九成宫笔力劲健,点画瘦硬,神采丰润饱满,笔出锋含蓄','其点画华滋遒劲结体宽绰秀美点画之间彼引呼应十分紧密外似柔润而内实','原创清同治状元郎徐郙,楷书真迹欣赏,笔法隽秀自然,结体骨气刚正']"
75,65,大灯|外观|采用|格栅,"['大灯', '外观', '采用', '格栅', '方向盘', '内饰', '前脸', '贯穿式', '定速', '车身']","['舒适性配置方面,高配车型配备了多功能方向盘,定速巡航,后驻车雷达','新车标配了前后卤素大灯和大灯高度可调功能,中高配车型还增加了大灯','秦这款车型的日常配置不够丰富,大灯采用的是卤素光源,没有配备天窗']"
76,65,翡翠|颜色|原石|南红,"['翡翠', '颜色', '原石', '南红', '证件', '钻石', '色系', '搭配', '色彩', '婚纱照']","['带血的翡翠,无泪的慈悲.缅甸矿区翡翠是怎样被挖出来的?','无论是网上购买翡翠原石还是直播间购买原石都存在风险和陷阱,如果','上千万翡翠爱好者的聚集地,值得你关注翡翠原石的颜色几乎可以用']"
77,63,图片|第1|绝味|鸭脖,"['图片', '第1', '绝味', '鸭脖', '第2', '厨娘', '陈记', '第4', '第3', '第20']","['华府厨娘酒店个性鸡杂图片第1张','陈记绝味烤面筋门面图片第33张','绝味鸭脖千灯店图片第4张']"
78,63,小学|中学|运动会|举行,"['小学', '中学', '运动会', '举行', '少先队', '学校', '大赛', '佳绩', '典礼', '学院']","['江安县四面山片区秋季小学生球类运动会半决赛在南井小学举行','邵东佘田桥中学举行2019年秋季新学期开学典礼','海洲初级中学举行迎五一教师趣味运动会']"
79,61,发型|刘海|短发|头发,"['发型', '刘海', '短发', '头发', '发色', '脸型', '烫发', '适合', '空气', '发尾']","['中国男明星发型图片男人最好的发型','曾经的短发造型,轻盈的空气刘海或干净的侧分无刘海造型都为她的五官','适合女生显瘦的短发发型']"
80,60,葡萄酒|ml|茅台|啤酒,"['葡萄酒', 'ml', '茅台', '啤酒', '回收', '红酒', '酒业', '茅台酒', '白酒', '香型']","['53度飞天茅台500ml1','西班牙原装进口红酒批发飞歌甜白葡萄酒贵腐甜酒750ml','铜川回收茅台酒回收拉菲红酒']"
81,59,面膜|脱妆|防晒剂|粉底液,"['面膜', '脱妆', '防晒剂', '粉底液', '敏感', '防晒', '肤质', '特别', '真香', '发量']","['现在觉得真香而且对我这种发量少的人来说出门用特别方便,随手抓一','现在觉得真香而且对我这种发量少的人来说出门用特别方便,随手抓一','面膜红黑榜来说说我觉得好用的面膜吧']"
82,59,改装|福特|改色|囚车,"['改装', '福特', '改色', '囚车', '贴膜', '路虎', '原厂', '专用', '顺v', '348']","['13人座囚车15人座囚车福特新时代全顺v348警用囚车哪里卖','福特新时代全顺v348警用囚车车型资料','路虎揽胜星脉极光改装高配悬浮车顶膜侧边柱贴膜高亮镜黑改色膜']"
83,59,车型|销量|中高级|奥赛车,"['车型', '销量', '中高级', '奥赛车', '亚洲狮', '库巴', '速腾', '迈腾', '马里', '轿车']","['除了我们耳熟能详的飞度和奥德赛,还少不了家喻户晓的中高级轿车销量','马里奥赛车库巴城堡马里奥赛车项目的诞生花了六年,项目位于库巴城堡','自媒体正文自主suv中,少有的销量能呈现上涨的车型.']"
84,57,胶囊|服液|说明书|清热,"['胶囊', '服液', '说明书', '清热', '龙补', '夜盲症', '滴剂', '释片', '钠肠', '维生素ad']","['富德康盆炎净口服液无糖型10ml6支清热利湿和血','脑络通胶囊学术九脑络通胶囊联合依达拉奉治疗急性脑','清热解毒步长清热解毒胶囊0.3g18粒2板']"
85,56,摆件|茶壶|玻璃|茶具,"['摆件', '茶壶', '玻璃', '茶具', '创意', '陶瓷', '大号', '套装', '复古', '茶杯']","['查看淘宝倒流香炉陶瓷创意摆件大号思马光砸缸小和尚家用茶道塔檀香','安成德化纯手工白瓷茶壶大号陶瓷功夫茶具包邮','寻砂记宜兴紫砂壶纯手工名家功夫茶壶紫砂茶具套装泡茶壶潮汕家用小品']"
